recordID,LinkToVubis
10270,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10270&Language=eng
10271,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10271&Language=eng
10272,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10272&Language=eng
10273,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10273&Language=eng
10274,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10274&Language=eng
10275,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10275&Language=eng
10276,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10276&Language=eng
10277,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10277&Language=eng
10278,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10278&Language=eng
10279,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10279&Language=eng
1028,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1028&Language=eng
10280,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10280&Language=eng
10281,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10281&Language=eng
10282,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10282&Language=eng
10283,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10283&Language=eng
10284,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10284&Language=eng
10285,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10285&Language=eng
10286,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10286&Language=eng
10287,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10287&Language=eng
10288,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10288&Language=eng
10289,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10289&Language=eng
1029,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:1029&Language=eng
10290,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10290&Language=eng
10291,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10291&Language=eng
10294,http://193.190.214.119/fabritiusweb/LinkToVubis.csp?DataBib=2:10294&Language=eng
