"inventarisnummer","titel","kunstenaar","tag_1","tag_2","tag_3","tag_4","tag_5","tag_6","tag_7","tag_8","tag_9","tag_10"
"3205","'s Winters","Jules Montigny","{""tag"": ""cheval"", ""score"": 0.8375}","{""tag"": ""paard"", ""score"": 0.8359}","{""tag"": ""houten paard"", ""score"": 0.8292}","{""tag"": ""paardemolen"", ""score"": 0.8243}","{""tag"": ""herder"", ""score"": 0.8226}","{""tag"": ""rijdier-transport"", ""score"": 0.8218}","{""tag"": ""paardenstaart"", ""score"": 0.819}","{""tag"": ""herderin"", ""score"": 0.8172}","{""tag"": ""abstract"", ""score"": 0.8135}","{""tag"": ""weide"", ""score"": 0.813}"
"6393","Parijse boulevard","Edwin Scott","{""tag"": ""Norrlandsgatan"", ""score"": 0.8405}","{""tag"": ""Stockholm"", ""score"": 0.8248}","{""tag"": ""straat"", ""score"": 0.8242}","{""tag"": ""Musee Carnavalet"", ""score"": 0.8232}","{""tag"": ""Gustave Courbet"", ""score"": 0.8228}","{""tag"": ""Barbizon"", ""score"": 0.8197}","{""tag"": ""the Strand"", ""score"": 0.8186}","{""tag"": ""abstract"", ""score"": 0.8178}","{""tag"": ""ville"", ""score"": 0.8178}","{""tag"": ""scene"", ""score"": 0.8175}"
"10014","Visueel onderzoek","Jean-Pierre Yvaral","{""tag"": ""abstract"", ""score"": 0.8456}","{""tag"": ""geometrie"", ""score"": 0.8129}","{""tag"": ""kubisme"", ""score"": 0.812}","{""tag"": ""scene"", ""score"": 0.8117}","{""tag"": ""arts"", ""score"": 0.8101}","{""tag"": ""Barbizon"", ""score"": 0.8079}","{""tag"": ""Mona Lisa"", ""score"": 0.807}","{""tag"": ""atelier"", ""score"": 0.8063}","{""tag"": ""kunstgalerij"", ""score"": 0.8062}","{""tag"": ""/ scene"", ""score"": 0.8061}"
"3326","Pauselijke lijfwacht","Nazzareno Cipriani","{""tag"": ""soldat"", ""score"": 0.8385}","{""tag"": ""militaire scene"", ""score"": 0.8366}","{""tag"": ""palissade"", ""score"": 0.8354}","{""tag"": ""Jacques-Louis David"", ""score"": 0.8193}","{""tag"": ""cartouche"", ""score"": 0.8182}","{""tag"": ""villa Borghese"", ""score"": 0.8181}","{""tag"": ""citadel"", ""score"": 0.818}","{""tag"": ""schilderkunst"", ""score"": 0.818}","{""tag"": ""Pincio"", ""score"": 0.8169}","{""tag"": ""officier"", ""score"": 0.8167}"
"10784","Meierij bij Evian","Jan Frans Legillon","{""tag"": ""pergola"", ""score"": 0.8388}","{""tag"": ""Jacques Francart"", ""score"": 0.8317}","{""tag"": ""Barbizon"", ""score"": 0.8296}","{""tag"": ""Jacques-Louis David"", ""score"": 0.8271}","{""tag"": ""Jean-Baptiste-Camille Corot"", ""score"": 0.8268}","{""tag"": ""Camille Pissarro"", ""score"": 0.826}","{""tag"": ""Jean Charles Houzeau"", ""score"": 0.8254}","{""tag"": ""Gustave Courbet"", ""score"": 0.8253}","{""tag"": ""Puvis de Chavannes"", ""score"": 0.8239}","{""tag"": ""villa Borghese"", ""score"": 0.822}"
"12379","Voorbereidende studie voor ""Lino V""","Jozef Peeters","{""tag"": ""abstract"", ""score"": 0.8493}","{""tag"": ""geometrie"", ""score"": 0.8274}","{""tag"": ""plan"", ""score"": 0.8204}","{""tag"": ""geometrisch"", ""score"": 0.8197}","{""tag"": ""kubisme"", ""score"": 0.8185}","{""tag"": ""plafond"", ""score"": 0.8162}","{""tag"": ""arts"", ""score"": 0.8161}","{""tag"": ""atelier"", ""score"": 0.8159}","{""tag"": ""architecture"", ""score"": 0.813}","{""tag"": ""kunstgalerij"", ""score"": 0.8125}"
"12380","Voorbereidende studie voor een schilderij","Jozef Peeters","{""tag"": ""abstract"", ""score"": 0.8543}","{""tag"": ""geometrie"", ""score"": 0.8415}","{""tag"": ""geometrisch"", ""score"": 0.8334}","{""tag"": ""kubisme"", ""score"": 0.8258}","{""tag"": ""geometrische versiering"", ""score"": 0.8226}","{""tag"": ""arts"", ""score"": 0.8215}","{""tag"": ""scene"", ""score"": 0.8199}","{""tag"": ""triangel"", ""score"": 0.8174}","{""tag"": ""atelier"", ""score"": 0.8163}","{""tag"": ""kunst"", ""score"": 0.8159}"
"4060 / 528","De farao en zijn leger verdrinkend in de Rode Zee","Jean I Cousin (Jean Cousin de Oude)","{""tag"": ""abstract"", ""score"": 0.8451}","{""tag"": ""hemel"", ""score"": 0.8248}","{""tag"": ""Jacob Jordaens"", ""score"": 0.8231}","{""tag"": ""kosmos"", ""score"": 0.8228}","{""tag"": ""borduursel"", ""score"": 0.8224}","{""tag"": ""kubisme"", ""score"": 0.8223}","{""tag"": ""cirkel"", ""score"": 0.8223}","{""tag"": ""scene"", ""score"": 0.8219}","{""tag"": ""schilderkunst"", ""score"": 0.8218}","{""tag"": ""arts"", ""score"": 0.821}"
"1429","Barabbas aan de voet van de calvarie","Alexandre Thomas","{""tag"": ""Lazarus"", ""score"": 0.8495}","{""tag"": ""Pieta"", ""score"": 0.8492}","{""tag"": ""Jezus"", ""score"": 0.8471}","{""tag"": ""Geseling van Christus"", ""score"": 0.8457}","{""tag"": ""Le Mort"", ""score"": 0.8426}","{""tag"": ""Golgotha"", ""score"": 0.8414}","{""tag"": ""Christus"", ""score"": 0.8412}","{""tag"": ""Afscheid van Jezus van zijn moeder"", ""score"": 0.84}","{""tag"": ""heilige Lazarus"", ""score"": 0.8383}","{""tag"": ""Verrijzenis van Christus"", ""score"": 0.8375}"
"4060 / 4249","Zittende vrouw voor een spiegel","Ferdinand Bol","{""tag"": ""femme"", ""score"": 0.8282}","{""tag"": ""abstract"", ""score"": 0.8275}","{""tag"": ""Mona Lisa"", ""score"": 0.8242}","{""tag"": ""interieur"", ""score"": 0.8234}","{""tag"": ""vrouw"", ""score"": 0.8215}","{""tag"": ""Meditationes in Vitam Christi"", ""score"": 0.8212}","{""tag"": ""portrait"", ""score"": 0.8184}","{""tag"": ""meditatie"", ""score"": 0.8179}","{""tag"": ""religieuze vrouw"", ""score"": 0.8172}","{""tag"": ""oude vrouw"", ""score"": 0.8171}"
